Text,Category
defiant hunt put ban test thousand hunt supporter first day hunting england wale ban hunting dog came force . countryside alliance called hunt supporter meet normal vowed stay within law . although hunting dog criminal offence exercising hound chasing scent trail flushing fox shot still legal . one anti hunt protester taken hospital violent clash kent . man suffered facial injury incident involving group men end east kent hunt near ashford . wiltshire police arrested four men new law suspected hunting dog . group south wale ireland released bail police say may face prosecution new poaching law . believed 270 hunt went saturday one day ban came . greeted big crowd many area country actor jeremy iron former minister kate hoey among supporter . anti hunt group league cruel sport deployed 100 monitor hunt check illegal activity . mike hobday league said video evidence law broken passed onto police . evidence suggests hunt operate within law many meeting promptly going home others peacefully exercising hound drag hunting . however received report believe clearly illegal activity number hunt across britain . bbc correspondent simon hall postbridge dartmoor west country said 2 000 people turned welcome hunt . bbc sarah mukherjee beaufort hunt badminton gloucestershire said several hundred people gathered foot see hunt 150 horseback . tom heap bbc rural affair correspondent said appeared hunstman sticking new rule . big turnout support hunt saturday said remains seen level backing maintained . riding hunt former minister kate hoey told crowd prevail law overturned . judith moritz melton mowbray said anti hunt activist monitor four hunt operating part leicestershire outnumbered large crowd follower . countryside alliance said meet would show new law impossibly difficult determine open different interpretation . chief executive simon hart said hunting england 700 year . ban may take two three year perhaps two three month unpick . nothing temporary break normal service broadcaster say . conservative family spokeswoman theresa may said party government would make sure law repealed . suffolk chief constable alastair mcwhirter association chief police officer spokesman rural policing told bbc law would enforced although police would break hunt . attorney general lord goldsmith far issued instruction police deal hunter violate law . said would consult director public prosecution police near future decide measure take hunting prosecution .,politics
eu software patent law delayed controversial new eu rule patenting computer based invention put hold due last minute intervention poland . poland large therefore crucial eu member requested time consider issue especially relates patenting software . critic say law would favour large company small innovative one . say could massive ramification development open source software . polish minister want see phrasing text directive patentability computer implemented invention changed excludes patenting software . planned law ignited angry debate whether eu allow patenting computer program internet business method currently happens u . instance u based amazon.com hold patent one click shopping . critic claim law eu say needed harmonise u little law idea . patent right claimed protect inventor case exclusively interest big company protected eva lichtenberg austrian green member european parliament said statement . smaller innovative firm afford patenting legal cost directive would inflict added . european parliament already clashed european union issue accusation process decide issue undemocratic . directive subject several previous delay .,tech
blair reject iraq advice call tony blair rejected call publication advice legality iraq war amid growing call investigation . prime minister told monthly press conference matter dealt attorney general . earlier conservative mp michael mate joined call probe claim lord goldsmith statement parliament drawn number 10. mr blair said statement fair summary lord goldsmith opinion . lord goldsmith said say . dealt time time time mr blair told monthly news conference downing street . refused answer question issue saying dealt literally score time position changed . lord goldsmith denied leaned say word written . government refuse publish advice legality war saying paper always kept confidential . mr mate member common intelligence security committee part butler inquiry pre war intelligence told bbc friday general rule right absolute rule . said occasion advice published recently regarding prince charles marriage plan . government could pick choose use convention said . mr mate added discovered two three occasion past law officer advice government published . may one special occasion ... would public interest see advice attorney general gave prime minister . argument rejected mr blair said firstly broken precedent secondly peter goldsmith made statement got absolutely nothing add . book published week philippe sand qc member cherie blair matrix chamber say lord goldsmith warned tony blair 7 march 2003 iraq war could illegal without second un resolution sanctioning military action . short statement lord goldsmith position presented written parliamentary answer 17 march 2003 crucial common vote military action . mr sand book suggests actually written home office minister lord falconer downing street adviser baroness morgan . former minister clare short resigned government iraq war said statement earlier shown cabinet discussed military action . told bbc full advice attached according ministerial code . view need house lord set special committee summon attorney get paper look exactly happened said . conservative liberal democrat say want publication full legal advice given attorney general . thursday lord goldsmith said statement written number 10 . parliamentary answer march 17 2003 explained genuinely held independent view military action lawful existing security council resolution said .,politics
robinson ready difficult task england coach andy robinson face first major test tenure try get back winning way six nation defeat wale . robinson likely make change back row centre 11 9 loss contemplates sunday set france twickenham . lewis moody martin corry could return missing game hamstring shoulder problem . midfield pairing mathew tait jamie noon also threat . olly barkley immediately allowed england generate better field position kicking game replacing debutant tait hour . bath fly half cum centre likely start france either tait noon dropping . tait given little opportunity shine attack received praise robinson afterwards even coach admitted cardiff unforgiving place teenage prodigy . robinson tricky decision whether withdraw firing line one outing player regard central england future . tait least outwardly appeared unaffected punishing treatment dished gavin henson particular . want definitely said . hopefully train hard week get selected next week look video wait see . playing 22 lot first half quite difficult . thought defended reasonably well got pick france . newcastle team mate noon hardly covered glory first major test . missed tackle michael owen build wale try conceded penalty breakdown turned another tackle fumbled gavin henson cross kick touch inside first quarter . contribution improved second half england clearly need playmaker inside centre role . front line remains fallible despite superb performance chris jones whose athleticism came fore stepping side moody . likely leicester flanker return open side physical challenge posed french forward andy hazell likely make way . lock ben kay also justified recall impressive round display return side elsewhere england positive thin ground .,sport
singer ian brown gig arrest former stone rose singer ian brown arrested fight concert san francisco tuesday spokesman said . fan jumped stage attacked singer became involved fracas security guard fiction record spokesman paul smernicki said . said brown arrested hotel show great american music hall released without charge . san francisco police said could find record arrest . mr smernicki said told fan rugby tackled singer gig resulted pushing shoving . brown got brawl another man tried restrain without realising security guard mr smernicki added . star went 15 minute returning finish set . police took witness statement apprehended brown hotel mr smernicki said . released without charge far aware end mr smernicki added . spokesperson san francisco police department said may detained could find record incident . brown 42 lead singer stone rose one seminal band british rock split 1996. since forged successful solo career scoring nine uk top 30 single since 1998. 1998 sentenced four month jail using threatening behaviour towards aeroplane captain stewardess .,entertainment
italy aim rattle england italy coach john kirwan belief side upset england six nation wooden spoon battle hots . two side without win meet 12 march twickenham kirwan say side hoping make england current slump . make sure england france game tough . england best championship . big one u sure player rise occasion said . kirwan admits lot hard work needed kicker trip london . roland de marigny luciano orquera miserable time boot dire defeat scotland chris paterson stole show give host much needed 18 10 victory . kirwan said kicking decisive factor scotland cost u could go kicking next time . lot confidence player positive put everything together england . england meanwhile licking wound rueing might two decision referee jonathan kaplan gone second half dublin . first mark cueto judged offside chased fly half charlie hodgson kick kaplan opted call upon video evidence see josh lewsey touched driven ireland line . centre jamie noon belief side least showed better form previous two defeat . definitely improved form irish side said . went dublin quietly confident would able compete think showed . got make sure take form positive italy game . illusion going easy definitely need win . england equalled 18 year low four successive championship defeat including france paris last season lost four row andy robinson . predecessor sir clive woodward began seven year reign three defeat two draw .,sport
downloads enter u single chart digital music downloads included main u single chart first time . billboard hot 100 chart incorporates data sale music downloads previously assigned separate download chart . green day boulevard broken dream currently number two billboard pop chart top digital chart . download sale due incorporated uk single chart later year . digital sale u already used compile billboard hot digital sale chart . tallied sale physical single airplay information make new hot 100 chart . second new chart pop 100 also combine airplay digital physical sale confines airplay information u radio station play chart music . addition green day artist current u digital sale top 10 include kelly clarkson game killer . sale legally downloaded song shot tenfold 2004 200 million track purchased online u europe 12 month international federation phonographic industry ifpi reported last month . uk sale song downloads overtook physical single first time end last year . last week december 2004 saw download sale 312 000 compared 282 000 physical single according british phonographic industry . uk first official music download chart launched last september compiling popular track downloaded legal uk site including itunes od2 mycokemusic.com napster . westlife flying without wing 1999 track reissued occasion first number one uk download chart . spokesman british phonographic industry bpi said first combined uk download sale chart due compiled within first half year . work going across music business right make sure new chart work plan said . bpi spokesman described uk music download chart compiled official chart company great success since launch . provided focus industry really driven interest downloads among music fan said .,entertainment
camera phone must have four time mobile camera sold europe end 2004 last year say report analyst gartner . globally number sold reach 159 million increase 104 . report predicts nearly 70 mobile phone sold built camera 2008. improving imaging technology mobile making increasingly must buy . europe camera mobile take 1.3 megapixel image . japan asia pacific camera phone technology much advanced mobile already released take 3.2 megapixel image . japan still dominates mobile phone technology uptake huge . 2008 according gartner 95 mobile sold camera . camera phone teething problem first launched people struggled poor quality image us well complexity expense sending via mm multimedia messaging service . changed last 18 month . handset maker concentrated trying make phone easier use . realising people like use camera phone different way introduced design feature like rotating screen viewfinder removable memory card easier control send picture message . mobile company introduced way people share photo people . included giving people easier way publish website mobile blog moblogs . report suggests image quality increase people interested printing picture kiosk . image sensor technology inside camera phone improving . gartner report suggests mid 2005 likely image resolution camera phone two megapixels . consumer digital camera image range two four megapixels quality six megapixels high end camera . lot work done make camera phone like digital camera . handset already feature limited zoom capability manufacturer looking technological improvement let people take photo poorly lit condition like nightclub . development include wide angle mode basic editing feature better sensor processor recording film clip . image camera phone even made art world . exhibition next month aid charity mencap feature snap taken camera phone top artist . exhibition fonetography feature image taken photographer david bailey rankin nan goldin artist sir peter blake tracey emin jack vettriano . us worried many organisation . intel samsung uk foreign office lawrence livermore national laboratory u decided ban camera phone building fear sensitive information snapped leaked . many school fitness centre local council also banned fear privacy misuse . italy information commissioner also voiced concern issued guideline phone used . camera phone fear dampened manufacturer profit . according recent figure sony ericsson profit tripled third quarter new camera phone . 60 mobile sold three month september featured integrated camera said .,tech
sprinter walker quits athletics former european 200m champion dougie walker retire athletics series six operation left struggling fitness . walker hoped compete new year sprint staged musselburgh racecourse near edinburgh tuesday wednesday . 31 year old scot suspended two year 1998 testing positive nandrolone . intended race running like goon said walker . told herald newspaper great shape missing month training . missed big chunk speed work three week another week working america . half decent mark might motivated racing . still enjoy training feel time move concentrate career .,sport
rocker doherty stage fight rock singer pete doherty involved fight band guitarist biggest gig date . babyshambles played 5 000 fan london brixton academy tuesday . former libertine singer traded blow guitarist patrick walden . separated bundled stage returning end set . show earlier held due audience overcrowding . monday doherty faced blackmail robbery charge court denies . £50 000 bail judge agreed extend 2200 gmt curfew deadline two hour could play brixton gig . babyshambles formed acrimonious departure libertine played warm show garage north london monday . tuesday doherty three bandmates introduced crowd mick jones former clash guitarist produced libertine second album . babyshambles took stage frenzied reception 2200 gmt launching last single killamangiro reached number eight december . group stop next song persuade fan push forward allow security guard pull people crush . doherty appealed fan calm saying people getting hurt front got move back . music resumed minute later several song singer appeared accidentally disconnect walden guitar leading pair trade kick punch . bouncer stepped band left stage returned five minute finished 50 minute performance trouble . doherty 25 home midnight observe curfew one condition bail . monday judge agreed allow perform condition request change bail term regular occurrence . singer arrested fellow musician alan wa 2 february alleged dispute documentary maker max carlish london hotel . next due court 18 april .,entertainment
rusedski angry supplement greg rusedski criticised governing body men tennis releasing contamination free supplement time new season . rusedski said tried order receive got yet . would think would available december take two month body respond . event come hottest period year would hope stuff would available . british number two escaped possible ban last year persuaded tribunal positive doping test result contaminated atp supplement . response atp struck deal pharmaceutical company glaxosmithkline provide contamination free drink nutritional bar men tour . david higdon vice president atp admitted agree greg . would loved thing available soon possible lot work make sure gone rigorous testing . reality though first two week tour spread far wide part distribution agreement gsk education component . going drop product without talk player understanding use . first chance get player meeting saturday australian open . rusedski take roger federer qatar open later wednesday conceded imminent change beneficial . good thing 100 guarantee hopefully never happen said rusedski . hopefully australian open discus .,sport
hi tech poster guide commuter interactive poster helping londoner get around city festive season . interrogated mobile phone poster pas number people call get information safest route home . sited busy underground station poster fitted infra red port beam information directly handset . poster part transport london safe travel night campaign . campaign intended help londoner especially woman avoid trouble way home . particular aim cut number sexual assault driver unlicensed minicab . nigel marson head group marketing transport london tfl said poster useful work outside mobile phone network . work previously inaccessible area underground station obviously huge advantage campaign sort said . poster automatically beam information phone equipped ir port held close glowing red icon poster . started infra red huge number ir phone said rachel harker spokeswoman hypertag make technology fitted poster . well established technology . hypertag also making poster us short range bluetooth radio technology swap data . although hypertags poster pas phone number m harker said pas almost form data including image ring tone video clip . said figure many people using poster previous campaign run cosmetic firm racked 12 500 interaction . ran campaign big question mark build come said . know yes . tfl campaign using poster run boxing day .,tech
new medium battle bafta award bbc lead nomination bafta interactive award including one radio time website one sport interactive euro 2004 coverage . award started 1997 recognise best website digital tv show cd rom . nominee include guardian news website national theatre mtv science museum london stock exchange . winner 12 different category crowned 2 march 2005. nearly 400 entry year third last year . bbc 16 nomination guardian three nomination . year nominee testament creative innovative work going within industry said grant dean chair interactive committee . category include interactive tv film digital tv mobile phone music . shaun dead oasis definitely maybe really bend like beckham chaplin collection day today battle dvd category . itv great british spelling test take bbc olympics spook interactive interactive tv award . guardian take three possible five nomination news sport category website coverage euro 2004 tour de france u election . bbc ican site technical social innovation award alongside like nottingham university uncle roy around . 2002 british academy film television decided split award separate game interactive ceremony fully cover range innovation outside gaming industry .,entertainment
williams battle aussie title serena williams staged remarkable recovery beat lindsay davenport win second australian open title . 2003 champion claimed seventh grand slam title first since wimbledon 2003 2 6 6 3 6 0. williams looked close quitting rib injury left court treatment five game . quickly dropped first set 3 3 second found another gear davenport game collapsed allowing williams take title . williams later explained injury problem saying result lunging ball early first set . lindsay run wide backhand back went eventually able come back thank goodness said . davenport paid tribute williams saying tough couple year come back like champion . 23 year old former world number one desperate trouble early stage injury hampered service action . davenport took advantage race opening set held six break point game five second . kept thinking losing game said williams afterwards . care arm fall losing game . guess happened . want lose particular game would given lot momentum lot confidence . despite letting break point slip away davenport looked comfortable enough 3 3 40 0 folded . williams nine consecutive point set powered decider lacklustre davenport looked run energy gruelling two week . felt like playing well control pretty much match said davenport . horrible lapse think serving 40 0 made error opened door kept going . end think little bit fatigued took advantage kept going great frontrunner get going .,sport
swiss cement firm buying spree swiss cement firm holcim bid $ 800m £429m buy two indian cement firm holding company country . plan buy associated cement company acc ambuja cement eastern holding firm ambuja cement india ltd holcim statement said . share acc fell 5.5 investor thought offer underpriced decided sell . meanwhile uk based firm aggregate industry said agreed £1.8bn takeover holcim . deal aggregate give holcim world second biggest cement maker entry uk market boost presence u . peter tom remain aggregate chief executive said 138p share offer provided significant value shareholder . markfield leicestershire based company run 142 quarry uk u . also 164 ready mixed concrete plant 90 asphalt plant 32 pre cast concrete factory . indian deal go ahead give holcim major presence world fastest growing market behind china . acc india second largest cement maker annual capacity 18.2 million tonne market share 13 . holcim looking buy acc cheap said kk mittal fund manager escort mutual fund new delhi . market impressed . want substantial chunk paying premium market price . share holcim rose 2.3 thursday following news takeover .,business
federer claim dubai crown world number one roger federer added dubai championship trophy long list success given test ivan ljubicic . top seed federer looked course easy victory thumped eighth seed 6 1 first set . ljubicic beat tim henman last eight dug deep secure second set tense tiebreak . swiss star federer lose cool though turning style win deciding set 6 3. match run last week final world indoor tournament rotterdam federer triumphed ljubicic stretched five set . really wanted get good start time could really play confidence still looking rhythm federer said . took way 6 1 3 1 0 30 serve almost ran away . came back good effort side . ljubicic loss explain poor showing first set . start badly suddenly felt like racket loose ball flying little bit much . roger relax second go quick said . first three game match . know really weird . playing really well whole year suddenly found trouble put ball court . despite defeat world number 14 pleased overall performance . chance third really positive twice two week chance roger win match . absolutely great boost confidence belong top class player .,sport
freeze anti spam campaign campaign lycos europe target spam related website appears put hold . earlier week company released screensaver bombarded site data try bump running cost website . site hosting screensaver display pink graphic word stay tuned . one lycos available comment latest development controversial anti spam campaign . lycos europe make love spam campaign intended way user fight back mountain junk mail flooding inboxes . people encouraged download screensaver pc idle would send lot data site peddle good service mentioned spam message . lycos said idea get spam site running 95 capacity generate big bandwidth bill spammer behind site . plan proved controversial . monitoring firm netcraft analysed response time site targeted screensaver found number completely knocked offline . downing site could dent lycos claim amount distributed denial service attack . attack thousand computer bombard site data attempt overwhelm . law many country explicitly outlaw attack many nation drafting computer use law make specific offence . lycos europe appears put plan hold . site hosting screensaver currently show holding page word stay tuned . numerical internet address site also changed . likely response spammer reportedly redirected traffic site back lycos screensaver site . campaign come fire corner web . many discussion group said set dangerous precedent could incite vigilantism . attacking spammer website like poking grizzly bear sleeping back garden pointy stick said graham cluley senior technology consultant sophos . screensaver similar approach potentially illegal distributed denial service attack also danger turning innocent computer user vigilante may prepared whatever retaliation spammer care dream .,tech
u woman sue cartridge u woman suing hewlett packard hp saying printer ink cartridge secretly programmed expire certain date . unnamed woman georgia say chip inside cartridge tell printer need filling even . lawsuit seek represent anyone u purchased hp inkjet printer since february 2001. hp world biggest printer firm declined comment lawsuit . hp ink cartridge use chip technology sense low ink advise user make change . suit claim chip also shut cartridge predetermined date regardless whether empty . smart chip dually engineered prematurely register ink depletion render cartridge unusable use built expiration date revealed consumer suit said . lawsuit asking restitution damage compensation . cost printer cartridge contentious issue europe last 18 month . price inkjet printer come little £34 could cost £1 700 running cost 18 month period due cartridge study computeractive magazine revealed last year . inkjet printer market subject investigation uk office fair trading oft concluded 2002 report retailer manufacturer needed make pricing transparent consumer .,tech
mexican u send $ 16bn home mexican labourer living u sent record $ 16.6bn £8.82bn home last year . bank mexico said remittance grew 24 last year represent country second biggest source income oil . better record greater prosperity mexican expatriate u main reason behind increase . 10 million mexican live u 16 million citizen mexican origin . remittance represent 2 country gdp according bank mexico figure . last year 50.9 million transaction average value $ 327 per remittance bank said . according standard poor recently upgraded mexico sovereign debt rating rise remittance help protect mexican economy potential fall international oil price . growth remittance sparked fierce competition bank . bank america announced last week planned eliminate transfer fee customer . remittance charge estimated dropped 50 60 report u treasury inter american development bank said . inter american development bank estimate remittance latin america caribbean reached $ 45bn 2004 .,business
commodore find new lease life famous commodore computer brand could resurrected bought u based digital music distributor . new owner yeahronimo medium venture ruled possibility new breed commodore computer . also plan develop worldwide entertainment concept brand although detail yet known . groundbreaking commodore 64 computer elicits fond memory owned one back 1980s . chronology home computing commodore one pioneer . commodore 64 launched 1982 one first affordable home pc . followed year later amiga . commodore 64 sold single computer system even day . brand languished somewhat 1990s . commodore international filed bankruptcy 1994 sold dutch firm tulip computer . late 1980s firm great rival atari produced range home computer brand video game formerly known infogrames . tulip computer sold several product commodore name including portable usb storage device digital music player . planned relaunch brand following upsurge nostalgia 1980s era game . commodore 64 enthusiast written emulator window pc apple mac even pda original commodore game still run . sale commodore expected complete three week deal worth £17m .,tech
lufthansa fly back profit german airline lufthansa returned profit 2004 posting huge loss 2003. preliminary report airline announced net profit 400m euro $ 527.61m £274.73m compared loss 984m euro 2003. operating profit 380m euro ten time 2003. lufthansa hit 2003 tough competition dip demand following iraq war killer sars virus . also hit trouble u catering business . last year lufthansa showed sign recovery even european u airline teetering brink bankruptcy . board lufthansa recommended paying 2004 dividend 0.30 euro per share . 2003 shareholder get dividend . company said give detail 2004 result 23 march .,business
funding cut hit wale student wale student rugby side become casualty welsh rugby union reorganisation youth level . amalgamated 18 side formed separate school national youth team play first match thursday italy gnoll . move seen wru decide end funding representative side wale student . result traditional international fixture england france new year cancelled . welsh student rugby football union feel unable properly prepare stage match . secretary welsh student rugby football union reverend eldon phillips said shame fixture maintained year . competition provided strong english french team enabled welsh student test high quality match . increasing number young rugby player entering higher education look biggest challenge representative rugby year opportunity denied . player played wale student going win full senior representative honour include robert jones rob howley jon humphreys darren morris martyn williams ceri sweeney .,sport
brazil play varig rescue brazilian government played claim could step save country biggest airline . brazil airport authority chief carlos wilson claimed government brink stepping save varig brazil flagship airline . however country vice president jose alencar said government still looking solution . varig struggling huge debt burden estimated debt 6.5 billion reais $ 2.3bn £1.2bn . asked whether rescue card following meeting country congress discus airline crisis mr alencar replied think . see . earlier mr wilson said president luiz inacio lula da silva decided step decree kind intervention could signed week . practice intervention although technical name used said . intervention mean government would take administrative control company finance . happen varig main shareholder non profit ruben berta foundation represents airline employee would removed mr wilson said . however job would lost airline would keep flying added . varig operates 18 country apart brazil driven brink collapse country economic downturn . depreciation brazil currency direct impact airline dollar debt well cost . business improved recently demand air travel increasing recovery brazilian economy . airline could also win sizeable windfall compensation claim government . tuesday court awarded varig 2bn reais $ 725m ruling favour compensation claim government freezing tariff 1985 1992. government appeal decision .,business
